"","MSI_TOTAL","results.valence_experiment_order","song1_ID","song1_estVal","song1_familiar","song2_ID","song2_estVal","song2_familiar","song3_ID","song3_estVal","song3_familiar","song4_ID","song4_estVal","song4_familiar","song5_ID","song5_estVal","song5_familiar","song6_ID","song6_estVal","song6_familiar","song7_ID","song7_estVal","song7_familiar","song8_ID","song8_estVal","song8_familiar","song9_ID","song9_estVal","song9_familiar","song10_ID","song10_estVal","song10_familiar","song11_ID","song11_estVal","song11_familiar","song12_ID","song12_estVal","song12_familiar","song13_ID","song13_estVal","song13_familiar","song14_ID","song14_estVal","song14_familiar","song15_ID","song15_estVal","song15_familiar","song16_ID","song16_estVal","song16_familiar","song17_ID","song17_estVal","song17_familiar","song18_ID","song18_estVal","song18_familiar","song19_ID","song19_estVal","song19_familiar","song20_ID","song20_estVal","song20_familiar","song21_ID","song21_estVal","song21_familiar","song22_ID","song22_estVal","song22_familiar","song23_ID","song23_estVal","song23_familiar","song24_ID","song24_estVal","song24_familiar","song25_ID","song25_estVal","song25_familiar"
"1",46,"[130,23,151,204,133,87,84,238,15,145,61,140,31,195,233,70,58,119,100,126,208,95,182,187,234]","130","6","no","23","4","no","151","3","no","204","4","no","133","3","no","87","6","no","84","6","no","238","2","no","15","7","no","145","1","no","61","5","no","140","3","no","31","1","no","195","1","no","233","3","no","70","1","no","58","6","no","119","4","yes","100","7","no","126","4","no","208","7","no","95","7","no","182","4","no","187","5","no","234","3","no"
"2",76,"[170,234,52,208,48,168,84,12,99,227,173,96,32,197,65,79,19,148,93,112,228,120,150,138,180]","170","4","no","234","1","no","52","7","yes","208","7","yes","48","5","no","168","6","yes","84","5","no","12","2","yes","99","7","no","227","1","no","173","4","no","96","5","no","32","3","no","197","6","no","65","5","no","79","6","no","19","1","yes","148","4","no","93","4","no","112","3","yes","228","3","no","120","5","no","150","2","no","138","2","no","180","4","no"
"3",56,"[153,165,147,136,29,138,16,137,95,167,171,181,31,7,221,194,82,6,189,112,8,111,98,102,161]","153","4","no","165","4","no","147","3","no","136","2","no","29","1","no","138","3","no","16","5","no","137","3","no","95","6","no","167","4","no","171","3","no","181","2","no","31","2","no","7","1","no","221","1","no","194","4","no","82","5","no","6","5","no","189","3","no","112","4","no","8","7","no","111","7","no","98","6","no","102","2","no","161","5","no"
"4",60,"[58,122,67,205,91,155,99,189,45,214,90,52,34,97,39,186,130,202,171,165,13,93,19,121,206]","58","5","no","122","5","no","67","6","no","205","3","no","91","6","yes","155","2","no","99","6","no","189","1","no","45","6","no","214","5","no","90","4","no","52","5","no","34","5","no","97","5","no","39","4","no","186","7","yes","130","2","no","202","3","yes","171","2","no","165","5","no","13","2","no","93","7","yes","19","6","yes","121","5","yes","206","3","yes"
"5",53,"[75,183,18,240,39,163,98,205,218,189,90,92,232,123,118,231,17,182,34,159,230,4,195,128,99]","75","3","no","183","2","no","18","7","no","240","2","yes","39","5","no","163","2","no","98","6","no","205","3","no","218","3","no","189","2","no","90","6","no","92","5","yes","232","2","no","123","3","no","118","6","no","231","5","no","17","3","no","182","5","no","34","4","no","159","2","no","230","2","no","4","2","no","195","3","no","128","6","no","99","7","no"
"6",85,"[53,105,26,134,40,25,146,33,188,69,129,238,14,109,24,206,4,81,31,186,125,193,144,152,235]","53","4","no","105","2","no","26","6","no","134","5","no","40","6","no","25","7","no","146","6","no","33","7","no","188","4","no","69","3","no","129","2","yes","238","1","no","14","3","no","109","2","yes","24","5","no","206","6","no","4","5","no","81","5","no","31","3","no","186","6","yes","125","7","yes","193","7","no","144","5","no","152","5","no","235","6","no"
"7",55,"[7,136,53,35,228,126,200,178,192,103,174,159,91,163,229,180,198,182,168,72,74,129,239,6,8]","7","2","no","136","6","no","53","3","no","35","3","no","228","2","no","126","2","no","200","3","no","178","1","no","192","7","no","103","2","no","174","4","no","159","2","no","91","7","no","163","2","no","229","4","no","180","5","no","198","2","no","182","3","no","168","2","no","72","7","no","74","7","no","129","5","no","239","5","no","6","3","no","8","7","no"
"8",100,"[144,86,93,100,207,196,160,67,131,148,224,149,232,180,203,80,124,52,167,215,45,40,39,92,28]","144","2","no","86","5","no","93","6","no","100","4","no","207","3","no","196","6","no","160","3","no","67","6","no","131","3","no","148","2","no","224","3","no","149","5","no","232","4","no","180","5","no","203","5","yes","80","4","no","124","3","no","52","6","no","167","1","no","215","1","no","45","5","no","40","6","no","39","6","yes","92","5","no","28","6","yes"
"9",56,"[209,37,155,195,221,183,65,217,70,78,141,18,169,76,134,101,184,240,177,41,193,224,9,106,64]","209","1","no","37","3","yes","155","3","no","195","1","no","221","5","no","183","2","no","65","6","no","217","2","no","70","5","no","78","6","no","141","4","no","18","7","no","169","4","no","76","3","no","134","5","no","101","2","no","184","5","no","240","7","no","177","6","no","41","7","no","193","6","yes","224","2","no","9","6","no","106","6","yes","64","6","yes"
"10",88,"[217,216,225,40,88,32,133,206,205,67,146,23,175,36,128,228,152,118,37,203,182,160,117,177,196]","217","4","no","216","4","no","225","1","no","40","6","no","88","5","no","32","6","no","133","3","no","206","2","no","205","2","no","67","6","no","146","5","no","23","7","no","175","6","no","36","5","no","128","5","no","228","1","no","152","1","no","118","6","no","37","5","no","203","3","no","182","3","no","160","2","no","117","5","no","177","7","no","196","6","no"
