session.p_id,results.MSI1,results.MSI3,results.MSI4,results.MSI7,results.MSI10,results.MSI12,results.MSI14,results.MSI15,results.MSI17,results.MSI19,results.MSI23,results.MSI24,results.MSI25,results.MSI27,results.MSI29,results.MSI32,results.MSI33,results.MSI37,total.MSI,total.farOff
s1,2,2,1,3,2,2,5,3,4,3,4,3,4,5,3,2,1,1,50,72
s2,6,4,3,7,6,6,4,1,5,7,5,6,3,5,7,1,2,2,80,32
s3,4,3,1,4,3,5,4,6,4,2,5,2,6,7,3,5,2,2,68,60
s4,3,1,5,6,2,5,7,5,3,3,5,6,2,7,5,1,1,1,68,39
s5,5,5,1,1,3,6,7,6,4,4,7,7,7,7,4,1,1,1,77,30
s6,7,5,2,3,4,7,5,7,3,7,2,7,3,6,3,5,4,3,83,24
s7,4,1,3,5,3,4,3,2,4,3,3,4,4,6,3,1,1,1,55,67
s8,7,3,5,6,6,5,2,7,1,5,2,7,3,3,5,6,6,3,82,41
s9,5,2,2,2,2,5,5,3,5,4,3,5,6,6,2,4,4,1,66,50
s10,6,5,6,7,3,6,3,5,4,6,3,7,6,3,6,3,5,2,86,28
s11,1,1,1,5,3,5,7,3,3,2,6,2,6,7,5,1,1,1,60,58
s12,5,1,1,5,3,3,5,4,2,3,5,5,3,6,6,3,2,1,63,58
s13,2,2,1,6,3,5,7,5,4,6,3,5,3,6,5,1,2,1,67,60
s14,2,2,2,5,1,1,7,2,6,2,7,3,4,7,5,1,1,1,59,71
s15,5,4,3,5,5,4,3,4,5,3,5,6,4,3,3,5,2,2,71,39
s16,7,5,5,7,5,6,2,7,4,6,3,7,5,3,5,5,5,2,89,22
s17,6,1,4,4,1,5,7,6,5,3,7,7,6,7,2,1,1,1,74,44
s18,7,3,6,7,7,7,1,5,3,5,1,7,1,1,6,6,5,3,81,39
s19,7,4,5,7,4,6,1,7,4,6,4,7,3,1,5,7,6,2,86,25
s20,5,4,5,5,5,4,6,4,6,5,4,7,6,7,3,2,4,1,83,40
s21,6,1,3,5,5,4,6,4,2,4,7,7,7,5,6,7,3,2,84,50
s22,1,1,2,2,3,3,7,2,4,3,3,3,5,7,2,4,1,1,54,66
s23,5,5,6,7,6,7,1,6,2,6,2,5,3,1,6,6,6,4,84,31
s24,6,3,5,7,5,6,2,6,3,5,3,6,3,2,4,5,4,3,78,45
s25,6,3,5,5,5,5,2,6,2,5,3,7,2,6,5,6,3,2,78,29
s26,7,4,4,6,3,7,4,7,4,6,5,7,5,5,3,1,1,1,80,35
s27,5,4,5,4,6,5,3,7,3,4,5,7,6,6,3,1,1,2,77,41
s28,6,3,1,5,4,5,2,6,4,4,2,7,6,6,3,6,4,3,77,38
s29,3,1,2,3,1,2,5,3,3,3,6,6,6,7,2,7,2,2,64,59
s30,3,1,5,7,7,5,1,2,1,4,1,5,1,1,5,5,5,3,62,55
