index;msi_score;valence_total_dev;valences_correct;deviation_1;deviation_2;deviation_3plus
 1; 46;52; 3; 5;9;11
 2; 76;50; 7; 4;3;18
 3; 56;45; 6; 4;7;14
 4; 60;49; 5; 7;4;14
 5; 53;35;10; 6;5;14
 6; 85;40; 4;10;6; 9
 7; 55;32; 6; 9;7; 9
 8;100;48; 2; 8;9; 8
 9; 56;45; 3;12;3;10
10; 88;52; 5; 7;4;14
11; 42;45; 2;10;7; 8
12; 61;41; 4; 9;6;10
13; 61;39; 2;11;9; 5
14; 37;41; 3;10;7; 8
15; 71;49; 5; 8;3;14
16; 95;42; 7; 7;2;16
17; 50;43; 4;11;3;11
18;107;44; 2;11;8; 6
19;100;52; 4; 7;4;14
20; 65;47; 4; 7;7;11
21; 70;54; 1; 8;8; 9
22; 42;33; 7; 9;5;11
23;106;49; 2;10;6; 9
24; 92;35; 8; 6;5;14
25; 88;40; 6; 8;5;12
26; 74;39; 6; 8;5;12
27; 71;44; 4; 7;9; 9
28; 77;44; 3;13;1;11
29; 50;47; 5; 6;4;15
30; 92;32; 5;13;4; 8
31;100;40; 6; 9;4;12
32; 89;62; 4; 5;5;15
33; 48;37; 7; 9;3;13
34; 49;65; 2; 6;4;15
35; 44;32; 5;11;6; 8
36; 50;53; 6; 3;6;16
37; 87;54; 4; 5;7;13
38; 93;47; 3; 9;5;11
39;103;44; 5;10;3;12
40; 82;42; 6; 9;4;12
41; 48;45; 3; 9;7; 9
42; 89;50; 4; 6;9;10
